Date,Open,High,Low,Close,Volume,Market Cap
14-04-2021,134.02958681,136.40956143,128.9114264,133.42223073,7255.57,0
13-04-2021,132.14407889,135.22449461,131.689743,134.03585468,4086.25,0
12-04-2021,131.93737613,132.51340737,131.20271247,132.15388929,452.38,0
11-04-2021,132.97949666,134.29911955,131.93728974,131.93739826,2132.64,0
10-04-2021,132.3127071,134.1619869,131.72284663,132.97888359,14074.11,0
09-04-2021,131.05850086,132.33826071,130.8901999,132.30880203,498.87,0
08-04-2021,128.49787807,131.07445295,128.49030812,131.05867617,4269.38,0
07-04-2021,126.09144788,128.52552958,126.0423261,128.50366528,11250.27,0
06-04-2021,125.69553325,127.08278617,125.62525827,126.08568948,26637.47,0
05-04-2021,123.8280373,125.74165146,122.69503296,125.68914802,4124.22,0
04-04-2021,123.68195369,124.448342,123.25614392,123.81891471,340.21,0
03-04-2021,122.70879377,123.8922893,122.66754438,123.6903294,943.61,0
02-04-2021,122.08720399,123.21225913,121.70788541,122.69767236,279.09,0
01-04-2021,121.84738531,123.09361138,121.45317063,122.10574901,50.08,0
31-03-2021,119.89544914,123.25645937,117.94048853,121.84645701,1196.19,0
30-03-2021,121.3368969,123.77369933,119.15535575,119.89581116,815.31,0
29-03-2021,121.86333899,121.87101139,121.0350493,121.33523645,265.95,0
28-03-2021,121.79792905,122.04666029,120.6225318,121.86894091,803.59,0
27-03-2021,126.55171505,127.65809117,120.50215051,121.79548196,557.85,0
26-03-2021,119.66221843,126.54431919,119.59708365,126.51263074,38.08,0
25-03-2021,120.6451001,122.02841383,118.84723424,119.66731847,2854.51,0
24-03-2021,122.43162787,122.46498155,120.64115751,120.64115751,4854.02,0
23-03-2021,117.71919269,126.60264864,117.26878576,122.41026159,4876.53,0
22-03-2021,120.51921844,123.55512333,117.26834009,117.73441875,798.25,0
21-03-2021,120.77935408,120.89802631,119.79190307,120.51564883,621.83,0
20-03-2021,120.72030518,121.30534535,120.14837102,120.79637661,912.17,0
19-03-2021,122.3832712,123.10802497,120.67620468,120.72288257,329.74,0
18-03-2021,125.52420869,125.65718329,121.21546711,122.38897587,384.1,0
